,precision,recall,f1-score,support
High,0.3333333333333333,0.2808988764044944,0.3048780487804878,89.0
Low,0.7126436781609196,0.6739130434782609,0.6927374301675978,92.0
Medium,0.5684210526315789,0.574468085106383,0.5714285714285714,94.0
Very High,0.509090909090909,0.6086956521739131,0.5544554455445545,92.0
accuracy,0.5367847411444142,0.5367847411444142,0.5367847411444142,0.5367847411444142
macro avg,0.5308722433041853,0.5344939142907629,0.5308748739803029,367.0
weighted avg,0.5326916284501452,0.5367847411444142,0.5329432605484118,367.0
